"profile_id","vehicle_id","time_minutes","soc_percentage","power_kw","energy_accumulated_kwh","charging_phase","observations","created_at","profile_type","source_profile_id","scaling_factors","simulation_metadata","is_validated","model_match_score","generation_timestamp"
23875,5,0,"0.00","10.780","0.000","Preacondicionamiento","Inicio v2.0 - BMS normal","2025-07-01 20:52:28.222583","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223594"
24676,13,0,"0.00","6.468","0.000","Preacondicionamiento","Inicio v2.0 - BMS conservador","2025-07-01 20:52:28.222609","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223612"
25477,15,0,"0.00","10.780","0.000","Preacondicionamiento","Inicio v2.0 - BMS normal","2025-07-01 20:52:28.222621","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223632"
26278,16,0,"0.00","6.468","0.000","Preacondicionamiento","Inicio v2.0 - BMS permisivo","2025-07-01 20:52:28.222633","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223644"
27079,17,0,"0.00","10.780","0.000","Preacondicionamiento","Inicio v2.0 - BMS avanzado","2025-07-01 20:52:28.222645","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223656"
27880,18,0,"0.00","6.468","0.000","Preacondicionamiento","Inicio v2.0 - BMS normal","2025-07-01 20:52:28.222657","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223668"
28681,19,0,"0.00","10.780","0.000","Preacondicionamiento","Inicio v2.0 - BMS conservador","2025-07-01 20:52:28.222668","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.22368"
29482,20,0,"0.00","10.780","0.000","Preacondicionamiento","Inicio v2.0 - BMS normal","2025-07-01 20:52:28.22268","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223692"
30283,21,0,"0.00","10.780","0.000","Preacondicionamiento","Inicio v2.0 - BMS normal","2025-07-01 20:52:28.222692","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223705"
31084,22,0,"0.00","6.468","0.000","Preacondicionamiento","Inicio v2.0 - BMS normal","2025-07-01 20:52:28.222704","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223717"
31885,23,0,"0.00","6.468","0.000","Preacondicionamiento","Inicio v2.0 - BMS conservador","2025-07-01 20:52:28.222718","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.22373"
32686,24,0,"0.00","10.780","0.000","Preacondicionamiento","Inicio v2.0 - BMS normal","2025-07-01 20:52:28.222731","v2.0_TECHNICAL",NULL,NULL,NULL,True,NULL,"2025-07-01 20:52:28.223742"
