"vehicle_model_id","manufacturer","model_name","model_year","vehicle_class","battery_capacity_kwh","battery_chemistry","battery_warranty_years","battery_warranty_cycles","max_ac_power_kw","max_dc_power_kw","charging_efficiency","wltp_range_km","energy_consumption_kwh_100km","msrp_usd","availability_start_year","availability_end_year","created_at","updated_at"
5,"BYD","Dolphin",2024,"compact","44.9","LFP",8,3000,"11.0","60.0","0.900",340,"13.2",28000,2024,NULL,"2025-06-20 16:40:54.960136-05","2025-06-20 16:40:54.960136-05"
13,"BYD","Seagull",2024,"compact","38.9","LFP",8,3000,"6.6","40.0","0.870",305,"12.7",12000,2024,NULL,"2025-07-01 20:48:48.096343-05","2025-07-01 20:48:48.096343-05"
15,"BYD","Yuan Plus v2",2024,"suv","60.5","LFP",8,3000,"11.0","89.0","0.900",430,"14.1",35000,2024,NULL,"2025-07-01 20:52:26.945381-05","2025-07-01 20:52:26.945381-05"
16,"Nissan","Leaf v2",2024,"compact","39.0","NCM",8,3000,"6.6","46.0","0.850",270,"14.8",32000,2024,NULL,"2025-07-01 20:52:27.063688-05","2025-07-01 20:52:27.063688-05"
17,"Kia","EV6",2024,"suv","74.0","NCM",8,3000,"11.0","240.0","0.900",491,"15.0",45000,2024,NULL,"2025-07-01 20:52:27.171164-05","2025-07-01 20:52:27.171164-05"
18,"Leapmotor","T03",2024,"city","37.0","NCM",8,3000,"6.6","48.0","0.850",300,"12.3",15000,2024,NULL,"2025-07-01 20:52:27.278809-05","2025-07-01 20:52:27.278809-05"
19,"Chevrolet","Bolt EUV",2024,"compact","65.0","NCM",8,3000,"11.5","55.0","0.870",416,"15.6",38000,2024,NULL,"2025-07-01 20:52:27.390186-05","2025-07-01 20:52:27.390186-05"
20,"Dongfeng","Seres 3",2024,"suv","51.0","NCM",8,3000,"11.0","56.0","0.880",350,"14.6",25000,2024,NULL,"2025-07-01 20:52:27.513944-05","2025-07-01 20:52:27.513944-05"
21,"JAC","E-JS4",2024,"suv","65.7","NCM",8,3000,"11.0","75.0","0.880",445,"14.8",35000,2024,NULL,"2025-07-01 20:52:27.624871-05","2025-07-01 20:52:27.624871-05"
22,"Neta","V",2024,"city","38.5","NCM",8,3000,"6.6","100.0","0.850",318,"12.1",18000,2024,NULL,"2025-07-01 20:52:27.747298-05","2025-07-01 20:52:27.747298-05"
23,"Leapmotor","C11",2024,"suv","90.0","NCM",8,3000,"6.6","80.0","0.850",550,"16.4",45000,2024,NULL,"2025-07-01 20:52:27.855531-05","2025-07-01 20:52:27.855531-05"
24,"Skywell","BE11",2024,"suv","86.0","NCM",8,3000,"11.0","80.0","0.880",330,"26.1",40000,2024,NULL,"2025-07-01 20:52:27.963715-05","2025-07-01 20:52:27.963715-05"
25,"Gen2-Premium","Si-NCM SUV",2028,"suv","95.0","NCM",10,4000,"11.0","375.0","0.930",550,"17.3",45000,2028,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
26,"Gen2-Mass","LMFP Sedan",2028,"sedan","75.0","LFP",10,4000,"11.0","200.0","0.910",450,"16.7",35000,2028,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
27,"Gen2-Urban","Na-ion City",2029,"city","50.0","Na-ion",10,4000,"6.6","140.0","0.880",300,"16.7",15000,2029,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
28,"Gen3-UltraLux","SSB 1st Gen",2032,"luxury","120.0","SSB",10,4000,"22.0","500.0","0.950",700,"17.1",80000,2032,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
29,"Gen3-Perf","High-Si SUV",2032,"suv","110.0","NCM",10,4000,"11.0","400.0","0.940",650,"16.9",45000,2032,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
30,"Gen3-Mass","LMFP+ Wagon",2032,"wagon","85.0","LFP",10,4000,"11.0","250.0","0.920",500,"17.0",35000,2032,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
31,"Gen4-MassMkt","SSB 2nd Gen",2036,"sedan","150.0","SSB",10,4000,"22.0","750.0","0.960",900,"16.7",35000,2036,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
32,"Gen4-Eco","Li-ion Opt",2036,"compact","90.0","NCM",10,4000,"11.0","450.0","0.940",550,"16.4",25000,2036,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
33,"Gen4-Utility","Li-S Pickup",2037,"pickup","200.0","Li-S",10,4000,"11.0","150.0","0.900",700,"28.6",50000,2037,NULL,"2025-07-17 12:05:09.136245-05","2025-07-17 12:05:09.136245-05"
